filename,x,y,z,qx,qy,qz,qw
officw_10_Color.jpg,7.7393109832572611,9.8711474273614286,0.034717110454153641,-0.011071988993486038,-0.023739173743584703,0.81958362204354329,0.57236050629623825
officw_11_Color.jpg,9.4592154088364566,9.2232961362741097,0.019697788158425739,-0.01962936284769699,-0.014311787026344773,0.92762353124372932,0.37272569692633217
officw_12_Color.jpg,6.8325439230401095,7.8563808622446913,0.01824008539622389,-0.0035368818757960385,-0.018639575412969157,0.9594126144066647,0.28136718360958451
officw_13_Color.jpg,6.8807584471253325,10.914542144164692,-0.0060774178539979998,0.00044708441646460943,-0.018552966730002035,0.97986749409947604,-0.19878451033280542
officw_14_Color.jpg,5.212509999092104,15.841841508984615,-0.020520172374389176,-0.010959835038420775,0.023876545422159296,-0.14702352002244484,0.98878403969463624
officw_15_Color.jpg,3.2066322038689123,19.253454331239933,-0.049310122052527619,-0.0081972326551303775,0.011401666963272158,0.38188172730537928,0.92410451449904529
officw_16_Color.jpg,0.85881308487792196,19.057112031431355,-0.046479708294952841,-0.0052436863869529645,0.015461912543709891,0.13858110959742911,0.99021649606351814
officw_17_Color.jpg,-0.40000903449947511,17.92045360767527,-0.036328542044577944,-0.0079736047690982803,0.0019763579576346354,0.80119495912166272,0.59834701730203921
officw_18_Color.jpg,-4.2543136712658089,18.249398757731608,-0.026340994956533449,-0.015358039281434607,0.021816515918517784,0.30225599416731302,0.95285333827013285
officw_19_Color.jpg,-6.5992841579206694,18.183304183792679,-0.027099864959681214,0.0065095222573020323,0.013715369272953653,-0.1752342524887916,0.98440970714453169
officw_1_Color.jpg,0,0,0,-0.0057781298226869619,-0.0060233153545209807,0.62449620977220388,0.7809832372516351
officw_20_Color.jpg,-6.9119383773967851,13.198537970715496,-0.034634328104348466,-0.029638445337791051,0.012702522651379342,0.47271552068779032,0.8806249173042523
officw_21_Color.jpg,-7.1232823609007099,10.379552912791073,-0.030841203669563357,-0.021917145985112484,0.0072117229860514812,-0.0039870389601833998,0.99972582905703189
officw_2_Color.jpg,-2.5074112987036901,3.0918247060885484,0.0076895935508941729,-0.011581813814896764,0.0019129948447637038,-0.51023148425456066,0.85995699573575723
officw_3_Color.jpg,-5.2436314085278699,2.8506701914341401,0.033402341478172615,-0.012036863215541919,-0.0058946499119002177,-0.1534454694997707,0.98806621990448673
officw_4_Color.jpg,-1.302555611058946,8.1079529935928552,0.031218085920510587,-0.0066183025471529145,-0.010726567077258907,0.91576066812524015,0.40152650914347526
officw_5_Color.jpg,-1.6530790049711486,13.728612767300595,0.03785426486055099,0.019283740143746741,-0.005894278885381259,0.68514162226134723,0.72813072472433094
officw_6_Color.jpg,2.5714257849448385,8.69763343193876,0.032979972986054401,-0.0061573673883584907,-0.0027859524033507286,0.37004886529412534,0.92898770852502754
officw_7_Color.jpg,2.8398454486094988,7.2616218170296873,0.036998367692662494,0.0084030260115125939,-0.0066256630872590337,0.90613267698891231,0.42285820488127168
officw_8_Color.jpg,3.35763759409534,5.389996033812765,0.0061277501166664122,0.0022267126690454259,0.014870709400262709,-0.33687086744638722,0.94143078472001396
officw_9_Color.jpg,6.2385236852668875,9.7199856138522893,0.0099461272995215073,-0.0024682608209547811,-0.025872845612623461,0.4839855292903576,0.87468995134616556
